carpark_number,update_datetime,total_lots,lot_type,lots_available,data_snapshot_time
PL57,2026-01-06T05:58:57,521,C,183,2026-01-06 06:00
PL57,2026-01-06T06:58:46,521,C,242,2026-01-06 07:00
PL57,2026-01-06T07:58:59,521,C,314,2026-01-06 08:00
PL57,2026-01-06T08:59:00,521,C,347,2026-01-06 09:00
PL57,2026-01-06T09:58:47,521,C,363,2026-01-06 10:00
PL57,2026-01-06T10:59:02,521,C,373,2026-01-06 11:00
PL57,2026-01-06T11:59:03,521,C,378,2026-01-06 12:00
PL57,2026-01-06T12:58:04,521,C,392,2026-01-06 13:00
PL57,2026-01-06T13:58:49,521,C,388,2026-01-06 14:00
PL57,2026-01-06T14:59:07,521,C,375,2026-01-06 15:00
PL57,2026-01-06T15:58:08,521,C,364,2026-01-06 16:00
PL57,2026-01-06T16:58:49,521,C,368,2026-01-06 17:00
PL57,2026-01-06T17:59:10,521,C,347,2026-01-06 18:00
PL57,2026-01-06T18:58:11,521,C,310,2026-01-06 19:00
PL57,2026-01-06T19:58:50,521,C,268,2026-01-06 20:00
PL57,2026-01-06T20:59:13,521,C,239,2026-01-06 21:00
PL57,2026-01-06T21:58:51,521,C,224,2026-01-06 22:00
PL57,2026-01-06T22:59:15,521,C,203,2026-01-06 23:00
PL57,2026-01-06T23:59:51,521,C,190,2026-01-07 00:01
PL57,2026-01-07T00:59:17,521,C,185,2026-01-07 01:00
PL57,2026-01-07T01:58:52,521,C,182,2026-01-07 02:00
PL57,2026-01-07T02:58:19,521,C,182,2026-01-07 03:00
PL57,2026-01-07T03:58:44,521,C,182,2026-01-07 04:00
PL57,2026-01-07T04:59:19,521,C,180,2026-01-07 05:00
PL57,2026-01-07T05:58:45,521,C,186,2026-01-07 06:00
PL57,2026-01-07T06:58:46,521,C,236,2026-01-07 07:00
PL57,2026-01-07T07:59:22,521,C,324,2026-01-07 08:00
PL57,2026-01-07T08:58:46,521,C,354,2026-01-07 09:00
PL57,2026-01-07T09:58:46,521,C,374,2026-01-07 10:00
PL57,2026-01-07T10:59:25,521,C,381,2026-01-07 11:00
PL57,2026-01-07T11:58:46,521,C,386,2026-01-07 12:00
PL57,2026-01-07T12:58:27,521,C,380,2026-01-07 13:00
PL57,2026-01-07T13:58:47,521,C,374,2026-01-07 14:00
PL57,2026-01-07T14:58:47,521,C,367,2026-01-07 15:00
PL57,2026-01-07T15:58:48,521,C,356,2026-01-07 16:00
PL57,2026-01-07T16:58:48,521,C,356,2026-01-07 17:00
PL57,2026-01-07T17:58:48,521,C,347,2026-01-07 18:00
PL57,2026-01-07T18:58:48,521,C,302,2026-01-07 19:00
PL57,2026-01-07T19:58:49,521,C,264,2026-01-07 20:00
PL57,2026-01-07T20:58:49,521,C,235,2026-01-07 21:00
PL57,2026-01-07T21:58:49,521,C,224,2026-01-07 22:00
PL57,2026-01-07T22:58:49,521,C,192,2026-01-07 23:00
PL57,2026-01-07T23:59:50,521,C,182,2026-01-08 00:01
PL57,2026-01-08T00:58:50,521,C,177,2026-01-08 01:00
PL57,2026-01-08T01:58:50,521,C,173,2026-01-08 02:00
PL57,2026-01-08T02:57:51,521,C,176,2026-01-08 03:00
PL57,2026-01-08T03:58:51,521,C,176,2026-01-08 04:00
PL57,2026-01-08T04:58:51,521,C,175,2026-01-08 05:00
PL57,2026-01-08T05:57:51,521,C,184,2026-01-08 06:00
PL57,2026-01-08T06:58:52,521,C,232,2026-01-08 07:00
PL57,2026-01-08T07:58:52,521,C,316,2026-01-08 08:00
PL57,2026-01-08T08:57:52,521,C,355,2026-01-08 09:00
PL57,2026-01-08T09:58:53,521,C,364,2026-01-08 10:00
PL57,2026-01-08T10:58:53,521,C,369,2026-01-08 11:00
PL57,2026-01-08T11:57:53,521,C,383,2026-01-08 12:00
PL57,2026-01-08T12:58:53,521,C,394,2026-01-08 13:00
PL57,2026-01-08T13:57:54,521,C,386,2026-01-08 14:00
PL57,2026-01-08T14:58:54,521,C,385,2026-01-08 15:00
PL57,2026-01-08T15:58:55,521,C,360,2026-01-08 16:00
PL57,2026-01-08T16:57:57,521,C,342,2026-01-08 17:00
PL57,2026-01-08T17:58:58,521,C,334,2026-01-08 18:00
PL57,2026-01-08T18:58:59,521,C,298,2026-01-08 19:00
PL57,2026-01-08T19:58:00,521,C,277,2026-01-08 20:00
PL57,2026-01-08T20:59:01,521,C,245,2026-01-08 21:00
PL57,2026-01-08T21:58:02,521,C,212,2026-01-08 22:00
PL57,2026-01-08T22:58:56,521,C,185,2026-01-08 23:00
PL57,2026-01-09T00:00:04,521,C,175,2026-01-09 00:01
PL57,2026-01-09T00:58:05,521,C,171,2026-01-09 01:00
PL57,2026-01-09T01:58:57,521,C,170,2026-01-09 02:00
PL57,2026-01-09T02:58:07,521,C,169,2026-01-09 03:00
PL57,2026-01-09T03:58:58,521,C,167,2026-01-09 04:00
PL57,2026-01-09T04:59:09,521,C,168,2026-01-09 05:00
PL57,2026-01-09T05:58:10,521,C,179,2026-01-09 06:00
PL57,2026-01-09T06:58:59,521,C,239,2026-01-09 07:00
PL57,2026-01-09T07:59:12,521,C,310,2026-01-09 08:00
PL57,2026-01-09T08:58:13,521,C,338,2026-01-09 09:00
PL57,2026-01-09T09:58:59,521,C,356,2026-01-09 10:00
PL57,2026-01-09T10:59:15,521,C,358,2026-01-09 11:00
PL57,2026-01-09T11:58:16,521,C,358,2026-01-09 12:00
PL57,2026-01-09T12:59:17,521,C,377,2026-01-09 13:00
PL57,2026-01-09T13:58:18,521,C,372,2026-01-09 14:00
PL57,2026-01-09T14:59:01,521,C,355,2026-01-09 15:00
PL57,2026-01-09T15:59:20,521,C,337,2026-01-09 16:00
PL57,2026-01-09T16:58:22,521,C,327,2026-01-09 17:00
PL57,2026-01-09T17:59:02,521,C,340,2026-01-09 18:00
PL57,2026-01-09T18:58:24,521,C,313,2026-01-09 19:00
PL57,2026-01-09T19:58:25,521,C,291,2026-01-09 20:00
PL57,2026-01-09T20:59:03,521,C,256,2026-01-09 21:00
PL57,2026-01-09T21:58:27,521,C,229,2026-01-09 22:00
PL57,2026-01-09T22:58:28,521,C,204,2026-01-09 23:00
PL57,2026-01-10T00:00:04,521,C,185,2026-01-10 00:01
PL57,2026-01-10T00:58:30,521,C,184,2026-01-10 01:00
PL57,2026-01-10T01:58:31,521,C,178,2026-01-10 02:00
PL57,2026-01-10T02:59:05,521,C,181,2026-01-10 03:00
PL57,2026-01-10T03:58:33,521,C,177,2026-01-10 04:00
PL57,2026-01-10T04:59:05,521,C,175,2026-01-10 05:00
PL57,2026-01-10T05:59:06,521,C,181,2026-01-10 06:00
PL57,2026-01-10T06:58:36,521,C,193,2026-01-10 07:00
PL57,2026-01-10T07:58:37,521,C,218,2026-01-10 08:00
PL57,2026-01-10T08:59:07,521,C,253,2026-01-10 09:00
PL57,2026-01-10T09:58:39,521,C,275,2026-01-10 10:00
PL57,2026-01-10T10:59:07,521,C,290,2026-01-10 11:00
PL57,2026-01-10T11:59:08,521,C,316,2026-01-10 12:00
PL57,2026-01-10T12:59:08,521,C,315,2026-01-10 13:00
PL57,2026-01-10T13:58:44,521,C,316,2026-01-10 14:00
PL57,2026-01-10T14:59:09,521,C,310,2026-01-10 15:00
PL57,2026-01-10T15:59:09,521,C,312,2026-01-10 16:00
PL57,2026-01-10T16:58:47,521,C,311,2026-01-10 17:00
PL57,2026-01-10T17:59:09,521,C,311,2026-01-10 18:00
PL57,2026-01-10T18:58:10,521,C,313,2026-01-10 19:00
PL57,2026-01-10T19:58:50,521,C,305,2026-01-10 20:00
PL57,2026-01-10T20:59:10,521,C,293,2026-01-10 21:00
PL57,2026-01-10T21:58:11,521,C,250,2026-01-10 22:00
PL57,2026-01-10T22:58:52,521,C,211,2026-01-10 23:00
PL57,2026-01-11T00:00:11,521,C,190,2026-01-11 00:01
PL57,2026-01-11T00:58:12,521,C,188,2026-01-11 01:00
PL57,2026-01-11T01:58:55,521,C,182,2026-01-11 02:00
PL57,2026-01-11T02:58:12,521,C,180,2026-01-11 03:00
PL57,2026-01-11T03:58:58,521,C,177,2026-01-11 04:00
PL57,2026-01-11T04:59:13,521,C,178,2026-01-11 05:00
PL57,2026-01-11T05:58:13,521,C,183,2026-01-11 06:00
PL57,2026-01-11T06:59:01,521,C,193,2026-01-11 07:00
PL57,2026-01-11T07:59:14,521,C,204,2026-01-11 08:00
PL57,2026-01-11T08:58:14,521,C,222,2026-01-11 09:00
PL57,2026-01-11T09:59:04,521,C,246,2026-01-11 10:00
PL57,2026-01-11T10:59:15,521,C,270,2026-01-11 11:00
PL57,2026-01-11T11:58:15,521,C,279,2026-01-11 12:00
PL57,2026-01-11T12:59:15,521,C,274,2026-01-11 13:00
PL57,2026-01-11T13:58:15,521,C,275,2026-01-11 14:00
PL57,2026-01-11T14:59:10,521,C,268,2026-01-11 15:00
PL57,2026-01-11T15:59:16,521,C,260,2026-01-11 16:00
PL57,2026-01-11T16:58:16,521,C,270,2026-01-11 17:00
PL57,2026-01-11T17:59:13,521,C,281,2026-01-11 18:00
PL57,2026-01-11T18:58:17,521,C,284,2026-01-11 19:00
PL57,2026-01-11T19:58:17,521,C,269,2026-01-11 20:00
PL57,2026-01-11T20:58:18,521,C,237,2026-01-11 21:00
PL57,2026-01-11T21:58:18,521,C,197,2026-01-11 22:00
PL57,2026-01-11T22:58:18,521,C,186,2026-01-11 23:00
PL57,2026-01-11T23:59:19,521,C,173,2026-01-12 00:01
PL57,2026-01-12T00:58:20,521,C,172,2026-01-12 01:00
PL57,2026-01-12T01:58:21,521,C,171,2026-01-12 02:00
PL57,2026-01-12T02:58:22,521,C,178,2026-01-12 03:00
PL57,2026-01-12T03:58:23,521,C,176,2026-01-12 04:00
PL57,2026-01-12T04:59:20,521,C,172,2026-01-12 05:00
PL57,2026-01-12T05:58:25,521,C,185,2026-01-12 06:00
PL57,2026-01-12T06:58:26,521,C,233,2026-01-12 07:00
PL57,2026-01-12T07:59:21,521,C,306,2026-01-12 08:00
PL57,2026-01-12T08:58:28,521,C,348,2026-01-12 09:00
PL57,2026-01-12T09:58:30,521,C,368,2026-01-12 10:00
PL57,2026-01-12T10:59:22,521,C,378,2026-01-12 11:00
PL57,2026-01-12T11:58:32,521,C,381,2026-01-12 12:00
PL57,2026-01-12T12:58:33,521,C,388,2026-01-12 13:00
PL57,2026-01-12T13:58:34,521,C,389,2026-01-12 14:00
PL57,2026-01-12T14:58:35,521,C,379,2026-01-12 15:00
PL57,2026-01-12T15:58:36,521,C,358,2026-01-12 16:00
PL57,2026-01-12T16:58:37,521,C,345,2026-01-12 17:00
PL57,2026-01-12T17:58:38,521,C,328,2026-01-12 18:00
PL57,2026-01-12T18:58:39,521,C,286,2026-01-12 19:00
PL57,2026-01-12T19:58:40,521,C,249,2026-01-12 20:00
PL57,2026-01-12T20:58:41,521,C,227,2026-01-12 21:00
PL57,2026-01-12T21:58:42,521,C,205,2026-01-12 22:00
PL57,2026-01-12T22:58:43,521,C,183,2026-01-12 23:00
PL57,2026-01-12T23:59:44,521,C,175,2026-01-13 00:01
PL57,2026-01-13T00:58:26,521,C,164,2026-01-13 01:00
PL57,2026-01-13T01:58:46,521,C,156,2026-01-13 02:00
PL57,2026-01-13T02:59:27,521,C,161,2026-01-13 03:00
PL57,2026-01-13T03:58:49,521,C,161,2026-01-13 04:00
PL57,2026-01-13T04:58:50,521,C,161,2026-01-13 05:00
PL57,2026-01-13T05:59:28,521,C,167,2026-01-13 06:00
PL57,2026-01-13T06:58:28,521,C,223,2026-01-13 07:00
PL57,2026-01-13T07:58:53,521,C,297,2026-01-13 08:00
PL57,2026-01-13T08:59:29,521,C,344,2026-01-13 09:00
PL57,2026-01-13T09:58:29,521,C,371,2026-01-13 10:00
PL57,2026-01-13T10:58:56,521,C,382,2026-01-13 11:00
PL57,2026-01-13T11:59:30,521,C,387,2026-01-13 12:00
PL57,2026-01-13T12:58:30,521,C,387,2026-01-13 13:00
PL57,2026-01-13T13:59:00,521,C,380,2026-01-13 14:00
PL57,2026-01-13T14:59:01,521,C,369,2026-01-13 15:00
PL57,2026-01-13T15:58:31,521,C,359,2026-01-13 16:00
PL57,2026-01-13T16:58:31,521,C,359,2026-01-13 17:00
PL57,2026-01-13T17:59:03,521,C,343,2026-01-13 18:00
PL57,2026-01-13T18:58:32,521,C,315,2026-01-13 19:00
PL57,2026-01-13T19:58:32,521,C,261,2026-01-13 20:00
PL57,2026-01-13T20:59:06,521,C,230,2026-01-13 21:00
PL57,2026-01-13T21:58:33,521,C,218,2026-01-13 22:00
PL57,2026-01-13T22:58:33,521,C,198,2026-01-13 23:00
PL57,2026-01-14T00:00:09,521,C,185,2026-01-14 00:01
PL57,2026-01-14T00:58:33,521,C,180,2026-01-14 01:00
PL57,2026-01-14T01:58:34,521,C,177,2026-01-14 02:00
PL57,2026-01-14T02:59:13,521,C,181,2026-01-14 03:00
PL57,2026-01-14T03:58:29,521,C,179,2026-01-14 04:00
PL57,2026-01-14T04:58:56,521,C,181,2026-01-14 05:00
PL57,2026-01-14T05:58:57,521,C,190,2026-01-14 06:00
PL57,2026-01-14T06:58:32,521,C,230,2026-01-14 07:00
PL57,2026-01-14T07:58:58,521,C,319,2026-01-14 08:00
PL57,2026-01-14T08:58:59,521,C,360,2026-01-14 09:00
PL57,2026-01-14T09:58:35,521,C,389,2026-01-14 10:00
PL57,2026-01-14T10:59:01,521,C,391,2026-01-14 11:00
PL57,2026-01-14T11:58:37,521,C,395,2026-01-14 12:00
PL57,2026-01-14T12:58:37,521,C,400,2026-01-14 13:00
PL57,2026-01-14T13:58:38,521,C,406,2026-01-14 14:00
PL57,2026-01-14T14:59:05,521,C,384,2026-01-14 15:00
PL57,2026-01-14T15:58:06,521,C,370,2026-01-14 16:00
PL57,2026-01-14T16:58:41,521,C,355,2026-01-14 17:00
PL57,2026-01-14T17:59:07,521,C,335,2026-01-14 18:00
PL57,2026-01-14T18:58:08,521,C,315,2026-01-14 19:00
PL57,2026-01-14T19:58:44,521,C,269,2026-01-14 20:00
PL57,2026-01-14T20:59:10,521,C,246,2026-01-14 21:00
PL57,2026-01-14T21:58:11,521,C,228,2026-01-14 22:00
PL57,2026-01-14T22:58:47,521,C,208,2026-01-14 23:00
PL57,2026-01-15T00:00:13,521,C,190,2026-01-15 00:01
PL57,2026-01-15T00:58:14,521,C,181,2026-01-15 01:00
PL57,2026-01-15T01:58:49,521,C,177,2026-01-15 02:00
PL57,2026-01-15T02:59:15,521,C,181,2026-01-15 03:00
PL57,2026-01-15T03:58:16,521,C,180,2026-01-15 04:00
PL57,2026-01-15T04:58:52,521,C,183,2026-01-15 05:00
PL57,2026-01-15T05:59:18,521,C,186,2026-01-15 06:00
PL57,2026-01-15T06:58:19,521,C,236,2026-01-15 07:00
PL57,2026-01-15T07:58:55,521,C,319,2026-01-15 08:00
PL57,2026-01-15T08:59:21,521,C,370,2026-01-15 09:00
PL57,2026-01-15T09:58:22,521,C,374,2026-01-15 10:00
PL57,2026-01-15T10:58:57,521,C,382,2026-01-15 11:00
PL57,2026-01-15T11:59:23,521,C,398,2026-01-15 12:00
PL57,2026-01-15T12:59:24,521,C,405,2026-01-15 13:00
PL57,2026-01-15T13:58:25,521,C,408,2026-01-15 14:00
PL57,2026-01-15T14:59:01,521,C,386,2026-01-15 15:00
PL57,2026-01-15T15:59:27,521,C,371,2026-01-15 16:00
PL57,2026-01-15T16:58:28,521,C,375,2026-01-15 17:00
PL57,2026-01-15T17:59:04,521,C,358,2026-01-15 18:00
PL57,2026-01-15T18:59:30,521,C,307,2026-01-15 19:00
PL57,2026-01-15T19:58:31,521,C,262,2026-01-15 20:00
PL57,2026-01-15T20:59:06,521,C,252,2026-01-15 21:00
PL57,2026-01-15T21:59:33,521,C,230,2026-01-15 22:00
PL57,2026-01-15T22:58:33,521,C,208,2026-01-15 23:00
PL57,2026-01-16T00:00:09,521,C,195,2026-01-16 00:01
PL57,2026-01-16T00:58:35,521,C,188,2026-01-16 01:00
PL57,2026-01-16T01:58:36,521,C,182,2026-01-16 02:00
PL57,2026-01-16T02:58:37,521,C,184,2026-01-16 03:00
PL57,2026-01-16T03:58:38,521,C,186,2026-01-16 04:00
PL57,2026-01-16T04:59:14,521,C,182,2026-01-16 05:00
PL57,2026-01-16T05:58:40,521,C,188,2026-01-16 06:00
PL57,2026-01-16T06:58:41,521,C,241,2026-01-16 07:00
PL57,2026-01-16T07:59:16,521,C,303,2026-01-16 08:00
PL57,2026-01-16T08:58:42,521,C,350,2026-01-16 09:00
PL57,2026-01-16T09:58:43,521,C,354,2026-01-16 10:00
PL57,2026-01-16T10:59:19,521,C,370,2026-01-16 11:00
PL57,2026-01-16T11:58:20,521,C,377,2026-01-16 12:00
PL57,2026-01-16T12:59:21,521,C,374,2026-01-16 13:00
PL57,2026-01-16T13:58:47,521,C,386,2026-01-16 14:00
PL57,2026-01-16T14:58:48,521,C,374,2026-01-16 15:00
PL57,2026-01-16T15:59:24,521,C,357,2026-01-16 16:00
PL57,2026-01-16T16:58:24,521,C,339,2026-01-16 17:00
PL57,2026-01-16T17:58:51,521,C,345,2026-01-16 18:00
PL57,2026-01-16T18:59:26,521,C,315,2026-01-16 19:00
PL57,2026-01-16T19:58:27,521,C,298,2026-01-16 20:00
PL57,2026-01-16T20:58:53,521,C,279,2026-01-16 21:00
PL57,2026-01-16T21:59:29,521,C,243,2026-01-16 22:00
PL57,2026-01-16T22:58:30,521,C,221,2026-01-16 23:00
PL57,2026-01-16T23:59:56,521,C,210,2026-01-17 00:01
PL57,2026-01-17T00:58:57,521,C,198,2026-01-17 01:00
PL57,2026-01-17T01:58:33,521,C,196,2026-01-17 02:00
PL57,2026-01-17T02:58:34,521,C,189,2026-01-17 03:00
PL57,2026-01-17T03:58:34,521,C,187,2026-01-17 04:00
PL57,2026-01-17T04:59:01,521,C,185,2026-01-17 05:00
PL57,2026-01-17T05:58:36,521,C,189,2026-01-17 06:00
PL57,2026-01-17T06:58:37,521,C,199,2026-01-17 07:00
PL57,2026-01-17T07:59:03,521,C,223,2026-01-17 08:00
PL57,2026-01-17T08:58:39,521,C,251,2026-01-17 09:00
PL57,2026-01-17T09:58:40,521,C,266,2026-01-17 10:00
PL57,2026-01-17T10:59:06,521,C,297,2026-01-17 11:00
PL57,2026-01-17T11:58:07,521,C,298,2026-01-17 12:00
PL57,2026-01-17T12:59:08,521,C,313,2026-01-17 13:00
PL57,2026-01-17T13:58:43,521,C,302,2026-01-17 14:00
PL57,2026-01-17T14:58:44,521,C,301,2026-01-17 15:00
PL57,2026-01-17T15:59:10,521,C,285,2026-01-17 16:00
PL57,2026-01-17T16:58:46,521,C,289,2026-01-17 17:00
PL57,2026-01-17T17:58:47,521,C,307,2026-01-17 18:00
PL57,2026-01-17T18:59:13,521,C,313,2026-01-17 19:00
PL57,2026-01-17T19:58:14,521,C,299,2026-01-17 20:00
PL57,2026-01-17T20:58:50,521,C,268,2026-01-17 21:00
PL57,2026-01-17T21:59:16,521,C,231,2026-01-17 22:00
PL57,2026-01-17T22:58:17,521,C,210,2026-01-17 23:00
